Review,Number of Reviews,Price,Tax,Star,Rating
Excellent,887,134,12,3,8.9
Exceptional,6,180,14,0,9.7
Excellent,476,105,12,0,8.7
Very Good,308,104,14,3,8.2
Very Good,109,130,14,3,8.5
Excellent,24,76,10,1,8.6
Wonderful,48,95,13,3,9.1
Excellent,8,159,0,0,8.9
Very Good,2,259,43,3,8.2
Very Good,1,95,14,2,8
Very Good,2,196,32,3,8.2
Exceptional,61,256,38,1,9.7
Excellent,1,129,17,3,8.6
Very Good,1,199,34,4,8.3
Very Good,291,159,20,2,8.5
Good,104,98,10,0,7.5
Excellent,3,78,18,0,8.9
Excellent,3,180,42,4,8.8
Good,807,275,70,3,7.9
Excellent,1,87,26,3,8.9
Very Good,89,72,18,0,8.1
Very Good,391,240,55,3,8.3
Very Good,646,225,32,3,8.5
Good,1,197,50,3,7.6
Wonderful,785,444,98,4,9
Very Good,2,109,15,2,8
Very Good,1,54,45,3,8.5
Excellent,1,169,34,4,8.6
Excellent,910,183,33,3,8.7
Very Good,296,80,11,3,8.1
Wonderful,707,249,42,4,9
Wonderful,638,122,34,3,9
Excellent,446,298,51,4,8.7
Excellent,107,314,57,3,8.6
Very Good,1,183,33,3,8.4
Very Good,933,299,47,4,8
Excellent,397,239,38,3,8.7
Very Good,279,125,11,3,8.1
Excellent,570,209,62,4,8.7
Very Good,960,204,35,4,8.5
Wonderful,88,135,15,3,9
Very Good,1,211,24,4,8.1
Good,2,289,69,4,7.9
Wonderful,667,174,21,4,9.2
Very Good,670,229,72,4,8
Wonderful,261,450,65,4,9.4
Excellent,484,321,78,4,8.7
Very Good,831,178,23,3,8.3
Very Good,348,73,29,3,8
Excellent,261,259,100,3,8.9
Excellent,1,214,29,3,8.8
Exceptional,148,237,59,4,9.5
Very Good,4,170,47,3,8.2
Excellent,2,129,32,3,8.6
Excellent,128,151,18,4,8.7
Very Good,206,260,64,4,8.1
Good,240,149,22,4,7.1
Wonderful,247,294,44,4,9.1
Excellent,118,89,43,0,8.6
Very Good,631,389,96,4,8.2
Very Good,623,319,74,4,8.4
Wonderful,299,224,54,4,9
Good,616,280,85,4,7.7
Very Good,473,259,41,3,8.3
Very Good,531,405,101,3,8.5
Wonderful,291,169,56,4,9
Excellent,94,271,68,4,8.8
Very Good,901,209,27,4,8.3
Excellent,3,260,66,4,8.7
Very Good,910,254,73,4,8.4
Exceptional,26,275,240,0,9.5
Very Good,421,289,82,4,8.4
Excellent,609,219,64,4,8.8
Very Good,229,233,66,4,8.5
Very Good,107,107,292,0,8.2
Very Good,200,144,52,4,8.5
Very Good,914,199,24,4,8.2
Excellent,358,224,66,4,8.6
Wonderful,467,615,158,5,9.3
Very Good,107,107,292,0,8.2
Exceptional,10,215,29,0,9.6
Wonderful,9,125,70,0,9.3
Very Good,397,569,128,5,8.2
Very Good,81,170,59,4,8.3
Very Good,2,200,240,0,8.5
Very Good,158,191,41,3,8.3
Excellent,84,539,218,0,8.7
Wonderful,85,325,36,4,9.3
Very Good,246,134,220,0,8.5
Wonderful,137,460,101,5,9.3
Excellent,42,399,277,0,8.7
Very Good,240,279,74,5,8.3
Wonderful,75,1,232,5,9.1
Very Good,745,323,91,5,8.5
Wonderful,433,429,64,5,9.2
Exceptional,4,855,451,0,9.5
Wonderful,290,169,180,4,9.3
Excellent,164,484,85,5,8.9
Wonderful,67,399,41,5,9
Very Good,173,339,72,4,8.3
Excellent,42,399,277,0,8.7
Exceptional,4,4,718,5,10
Wonderful,1,590,495,0,9
Very Good,1,249,32,4,8.3
Wonderful,143,204,22,2,9.1
Review score,233,56,6,2,6.6
Good,378,121,16,3,7.9
Good,659,104,13,2,7
Good,2,149,19,3,7.1
Good,258,94,12,3,7.5
Good,100,140,21,2,7.6
Good,166,90,10,2,7.8
Very Good,226,89,12,2,8
Good,856,75,10,2,7.8
Good,71,70,8,2,7.4
Good,369,105,11,2,7.4
Exceptional,7,197,143,0,9.6
Good,308,79,9,2,7.4
Good,158,130,20,2,7.2
Very Good,352,94,10,2,8.3
Very Good,740,98,11,3,8
Good,221,63,8,2,7.2
Good,624,72,8,2,7.5
Good,236,77,10,2,7.3
Very Good,821,299,39,3,8.5
Very Good,289,130,18,3,8.3
Good,215,72,10,2,7.1
Good,304,90,12,2,7.3
Good,594,86,7,2,7.7
Good,624,72,8,2,7.5
Good,217,124,11,2,7.9
Review score,183,104,11,2,6.9
Very Good,563,170,20,3,8
Good,662,129,17,2,7.5
Good,616,160,16,2,7.5
Very Good,359,194,17,3,8.2
Excellent,186,135,24,2,8.8
Very Good,392,96,9,2,8.2
Good,255,119,11,2,7.9
Very Good,441,131,16,2,8.3
Very Good,349,89,9,2,8.1
Good,395,69,15,2,7.5
Review score,349,69,8,2,6.8
Very Good,173,110,11,2,8
Very Good,246,209,23,2,8.4
Good,331,100,13,2,7.2
Good,295,86,16,2,7.2
Good,158,130,20,2,7.2
Very Good,277,124,14,3,8
Good,677,130,16,2,7.9
Good,677,130,16,2,7.9
Good,297,89,13,2,7.6
Good,233,75,9,2,7.3
Good,616,160,16,2,7.5
Good,406,154,25,2,7.9
Very Good,248,106,14,2,8.5
Very Good,369,109,22,2,8.1
Very Good,137,123,16,2,8.4
Good,615,109,9,2,7.2
Very Good,289,139,18,2,8.3
Good,328,99,15,3,7.8
Very Good,372,74,8,2,8
Good,582,73,20,2,7.9
Good,310,89,9,2,7.1
Very Good,305,149,18,2,8
Good,169,95,10,3,7.7
Excellent,273,418,59,2,8.8
Good,208,91,9,2,7.8
Good,395,139,13,2,7.7
Excellent,956,87,8,2,8.7
Very Good,116,146,16,1,8
Very Good,261,109,9,3,8.3
Very Good,411,149,19,2,8.5
Very Good,123,95,12,2,8.4
Very Good,429,199,26,3,8.5
Very Good,277,124,14,3,8
Good,572,148,18,3,7.9
Review score,683,169,21,3,6.9
Good,481,148,26,2,7.6
Very Good,211,227,25,3,8.4
Excellent,214,89,10,2,8.8
Good,301,90,9,2,7.8
Good,178,79,10,2,7.1
Very Good,328,89,11,2,8.1
Very Good,418,210,23,3,8.4
Excellent,218,139,22,2,8.8
Good,368,161,19,2,7.1
Very Good,573,169,30,2,8.3
Very Good,268,114,11,3,8
Good,615,109,9,2,7.2
Good,73,85,13,2,7.2
Very Good,248,106,14,2,8.5
Review score,290,76,11,2,6.8
Review score,242,90,11,3,6
Very Good,132,189,16,2,8.5
Excellent,457,94,14,2,8.9
Good,214,85,9,2,7.6
Good,232,94,12,2,7.8
Good,266,85,9,2,7
Excellent,228,255,31,3,8.9
Good,443,110,14,3,7.9
Good,210,98,13,3,7.2
Good,643,119,15,2,7.6
Very Good,760,123,15,2,8.3
Good,128,164,10,3,7.1
Good,612,118,15,2,7
Very Good,72,145,24,3,8.4
Excellent,91,94,14,3,8.6
Good,310,89,9,2,7.1
Very Good,199,84,14,2,8.2
Good,271,140,18,3,7.7
Very Good,240,84,10,2,8
Good,320,119,16,2,7.8
Very Good,335,159,19,2,8.2
Very Good,490,203,29,4,8.4
Very Good,432,189,24,3,8.4
Very Good,313,129,13,3,8.1
Good,582,189,26,3,7.5
Good,317,125,21,2,7.8
Good,227,81,12,2,7.5
Wonderful,431,139,18,2,9.3
Very Good,238,89,12,3,8
Excellent,799,150,25,3,8.6
Good,438,113,15,3,7.8
Good,474,104,11,3,7.1
Good,216,159,22,2,7.7
Very Good,429,199,26,3,8.5
Excellent,485,169,17,2,8.9
Excellent,61,143,17,3,8.6
Very Good,490,203,29,4,8.4
Good,612,118,15,2,7
Very Good,303,100,17,2,8.1
Good,320,113,16,2,7.9
Review score,105,180,24,2,6.9
Excellent,202,240,20,2,8.7
Good,619,79,11,2,7.8
Good,1,146,18,4,7.4
Very Good,591,108,15,2,8.1
Excellent,318,159,20,3,8.7
Good,208,119,13,2,7.6
Good,355,118,16,2,7.2
Very Good,230,104,12,2,8.2
Very Good,394,109,19,2,8.3
Very Good,571,189,17,3,8.5
Very Good,132,189,16,2,8.5
Good,263,99,11,2,7.6
Good,87,251,28,2,7.9
Good,170,68,9,2,7.5
Good,1,94,13,2,7.9
Good,238,99,14,2,7.6
Excellent,24,129,14,2,8.9
Good,475,79,10,2,7.6
Good,238,99,14,2,7.6
Very Good,267,245,33,3,8.5
Good,1,89,10,3,7.1
Very Good,485,114,14,3,8.5
Very Good,33,112,12,2,8.2
Good,346,124,15,3,7
Excellent,337,139,15,2,8.6
Very Good,684,98,13,3,8
Wonderful,146,109,14,3,9.3
Very Good,341,123,12,2,8.4
Excellent,368,122,21,3,8.7
Good,227,109,12,3,7.9
Good,2,213,32,3,7.4
Good,389,70,9,2,7.4
Good,227,89,10,2,7.8
Very Good,320,70,10,2,8
Good,287,121,16,4,7.3
Good,456,114,12,2,7.3
Very Good,270,178,21,3,8.3
Good,114,89,9,2,7.4
Good,44,113,12,2,7.6
Very Good,600,91,9,2,8
Good,1,129,16,1,7.4
Good,271,140,18,3,7.7
Very Good,600,91,9,2,8
Excellent,378,132,15,3,8.7
Good,250,61,9,2,7.7
Good,475,79,10,2,7.6
Very Good,2,109,42,3,8.4
Good,746,179,16,3,7.8
Excellent,318,159,20,3,8.7
Good,431,148,22,3,7.8
Good,81,74,11,2,7.9
Wonderful,204,104,16,3,9
Good,374,79,12,2,7.5
Very Good,126,120,16,2,8.3
Review score,36,78,9,2,6.8
Good,684,149,17,3,7.9
Excellent,115,159,20,2,8.8
Very Good,63,129,19,3,8
Good,426,99,17,2,7.9
Very Good,368,90,12,3,8.1
Very Good,300,209,23,3,8.5
Good,180,66,10,3,7.8
Very Good,356,139,16,2,8.5
Very Good,187,180,18,3,8.5
Good,1,208,34,3,7.8
Very Good,309,81,9,2,8.2
Good,250,68,6,2,7.9
Wonderful,51,239,28,3,9
Good,268,94,12,2,7.2
Very Good,414,65,8,2,8.2
Good,426,99,17,2,7.9
Wonderful,314,129,15,3,9.2
Very Good,431,139,21,3,8.1
Excellent,547,179,30,2,8.8
Good,58,72,8,2,7.2
Very Good,214,109,6,3,8.3
Very Good,245,124,18,2,8
Review score,862,129,19,3,6.5
Exceptional,4,199,26,3,10
Excellent,421,164,19,3,8.6
Very Good,10,169,16,2,8.1
Good,508,94,14,2,7.9
Good,131,134,13,2,7.5
Good,619,79,11,2,7.8
Wonderful,246,105,12,3,9.1
Very Good,33,112,12,2,8.2
Excellent,253,145,16,3,8.8
Very Good,389,119,23,3,8.2
Very Good,360,119,15,3,8.3
Excellent,463,139,15,3,8.7
Excellent,337,139,15,2,8.6
Excellent,421,164,19,3,8.6
Very Good,10,169,16,2,8.1
Good,508,94,14,2,7.9
Good,131,134,13,2,7.5
Good,114,139,15,3,7.6
Review score,20,80,15,1,6.1
Very Good,33,112,12,2,8.2
Excellent,253,145,16,3,8.8
Very Good,389,119,23,3,8.2
Good,308,119,13,2,7.8
Very Good,360,119,15,3,8.3
Excellent,463,139,15,3,8.7
Good,264,79,9,2,7.8
Good,426,160,21,2,7.8
Very Good,457,177,27,3,8
Excellent,294,119,15,2,8.9
Good,227,109,12,3,7.9
Wonderful,131,164,22,2,9.2
Good,389,70,9,2,7.4
Good,150,80,15,2,7.7
Good,274,115,10,3,7.8
Good,207,134,18,3,7.1
Good,300,99,14,2,7.5
Good,267,129,10,3,7.8
Good,323,90,9,3,7.9
Excellent,137,179,20,3,8.9
Good,263,104,14,3,7.9
Good,44,113,12,2,7.6
Good,621,124,14,2,7
Good,114,89,9,2,7.4
Good,61,125,16,2,7.7
Very Good,1,119,14,3,8.4
Good,140,134,20,3,7.9
Good,289,121,23,3,7.9
Excellent,476,151,20,4,8.7
Excellent,230,129,15,2,8.9
Good,242,89,12,2,7.6
Very Good,215,158,24,2,8.3
Very Good,150,100,13,2,8.3
Excellent,103,119,17,3,8.7
Excellent,204,400,39,0,8.9
Excellent,180,199,36,3,8.8
Review score,518,137,12,3,6.8
Good,241,99,9,2,7.2
Good,340,166,18,2,7.4
Very Good,259,122,18,3,8.4
Good,28,116,12,3,7.9
Very Good,150,104,13,3,8.2
Excellent,271,189,25,2,8.9
Wonderful,258,179,23,0,9.3
Excellent,271,189,25,2,8.9
Wonderful,258,179,23,0,9.3
Good,242,102,20,3,7.4
Exceptional,29,149,26,2,9.6
Review score,241,159,15,2,6.9
Excellent,103,115,11,2,8.6
Review score,303,99,11,2,6.9
Excellent,208,125,10,2,8.9
Very Good,601,169,15,3,8.1
Excellent,230,129,15,2,8.9
Wonderful,246,105,12,3,9.1
Very Good,201,169,22,3,8.2
Review score,518,137,12,3,6.8
Good,103,117,17,0,7.5
Good,454,80,10,2,7.6
Good,374,129,17,3,7.7
Very Good,219,169,19,3,8.4
Very Good,285,104,16,2,8
Good,199,104,16,2,7.9
Very Good,328,89,11,2,8.1
Excellent,385,69,9,2,8.6
Excellent,100,114,17,3,8.8
Very Good,228,140,19,3,8.2
Very Good,202,80,10,2,8.4
Review score,926,74,9,2,6.9
Excellent,298,365,66,3,8.7
Very Good,215,149,18,3,8
Good,746,179,16,3,7.8
Wonderful,322,197,24,3,9
Good,287,109,12,2,7.5
Very Good,144,116,10,2,8.3
Excellent,226,129,17,3,8.7
Very Good,221,219,26,3,8.3
Very Good,664,159,13,2,8.2
Good,621,124,14,2,7
Good,320,154,23,3,7.5
Very Good,199,205,27,2,8.4
Wonderful,312,195,21,2,9.2
Good,280,66,5,2,7.7
Good,108,110,25,2,7.6
Good,218,70,10,3,7.1
Good,583,174,19,3,7.8
Good,404,136,20,2,7.4
Good,146,155,20,2,7
Very Good,319,127,14,3,8.4
Good,308,119,13,2,7.8
Good,188,126,9,3,7.5
Excellent,204,400,39,0,8.9
Excellent,146,64,10,2,8.6
Review score,602,89,13,2,6.7
Excellent,251,164,28,3,8.6
Good,391,88,11,2,7.8
Very Good,286,139,21,3,8
Good,189,199,23,3,7.6
Good,137,85,11,3,7.3
Good,95,71,10,2,7.5
Good,163,128,14,3,7.5
Very Good,181,119,14,2,8.5
Good,128,89,10,2,7.5
Very Good,345,181,22,3,8.4
Very Good,321,139,16,2,8.4
Good,207,134,18,3,7.1
Good,131,110,9,2,7.4
Review score,212,135,18,2,6.9
Good,475,76,10,3,7.2
Excellent,547,129,17,3,8.7
Very Good,29,159,19,0,8.4
Very Good,101,104,25,2,8
Wonderful,131,164,22,2,9.2
Wonderful,337,145,2,3,9
Excellent,227,139,14,3,8.7
Excellent,339,150,15,2,8.9
Good,146,155,20,2,7
Good,253,153,21,2,7.3
Good,605,179,21,4,7.6
Good,253,153,21,2,7.3
Good,140,124,16,3,7.1
Good,605,179,21,4,7.6
Good,206,118,17,3,7.5
Wonderful,374,169,22,3,9
Good,62,79,10,2,7.7
Good,194,135,18,2,7.5
Good,346,169,22,3,7
Review score,318,84,9,2,6.8
Excellent,274,169,16,3,8.8
Review score,113,99,9,2,6.8
Excellent,238,116,20,2,8.6
Good,223,76,11,2,7.6
Good,172,135,15,2,7.5
Wonderful,315,149,11,3,9.1
Excellent,147,189,21,3,8.9
Good,332,114,13,2,7.9
Very Good,224,125,18,3,8.5
Good,177,150,18,2,7.8
Very Good,228,140,19,3,8.2
Excellent,24,140,13,2,8.7
Good,761,80,14,3,7.7
Very Good,679,111,8,3,8.5
Good,139,149,20,2,7.8
Very Good,309,115,15,2,8.2
Wonderful,294,179,16,2,9.2
Good,388,112,15,3,7.2
Very Good,240,109,14,2,8.5
Good,305,73,9,2,7.7
Excellent,293,139,24,2,8.8
Good,374,129,17,3,7.7
Excellent,319,109,14,3,8.6
Review score,256,139,28,3,5.9
Good,1,279,39,3,7.8
Very Good,663,139,21,3,8
Very Good,155,315,25,0,8.5
Good,396,129,16,2,7.7
Good,309,119,16,3,7.9
Very Good,109,76,7,1,8.2
Very Good,1,199,60,5,8.4
Good,184,139,15,3,7.4
Review score,255,95,12,2,6.8
Excellent,166,114,15,2,8.9
Very Good,263,69,9,2,8.4
Good,231,97,12,3,7.2
Good,188,126,9,3,7.5
Very Good,215,139,18,2,8.4
Wonderful,196,99,13,3,9.1
Excellent,322,266,46,3,8.8
Good,65,86,15,2,7.4
Very Good,268,160,18,3,8.2
Very Good,86,79,15,2,8.1
Wonderful,144,189,25,3,9
Very Good,49,129,17,3,8
Good,251,99,14,3,7.5
Very Good,362,89,33,3,8.1
Very Good,364,139,19,4,8.2
Excellent,373,199,38,4,8.8
Very Good,707,199,21,2,8
Excellent,406,135,16,2,8.6
Good,274,109,19,3,7.8
Good,786,89,10,2,7.4
Wonderful,117,179,23,3,9.2
Excellent,310,138,18,3,8.9
Good,70,66,9,2,7.5
Good,366,156,19,2,7.3
Very Good,388,109,12,3,8.1
Good,450,135,11,3,7.5
Excellent,442,99,14,3,8.7
Good,497,109,14,3,7.8
Very Good,363,133,17,0,8.1
Very Good,243,159,17,3,8
Good,140,75,9,3,7.2
Good,693,100,37,3,7.6
Very Good,84,90,12,2,8
Excellent,455,114,14,3,8.9
Good,150,121,14,2,7.3
Good,98,151,15,3,7.6
Good,271,60,8,2,7.4
Very Good,522,229,28,3,8.2
Good,160,92,5,2,7.9
Excellent,300,114,13,2,8.9
Very Good,330,156,17,2,8.3
Excellent,113,139,26,2,8.7
Good,148,80,13,2,7
Good,65,86,15,2,7.4
Review score,926,74,9,2,6.9
Very Good,196,140,20,2,8.3
Good,372,99,15,3,7.6
Excellent,290,139,15,3,8.6
Good,434,85,11,2,7.8
Good,271,114,17,3,7.7
Good,91,149,15,2,7.8
Good,156,80,7,2,7.2
Good,711,149,19,3,7.9
Excellent,297,110,17,3,8.9
Good,231,97,12,3,7.2
Very Good,187,108,14,2,8.3
Very Good,269,124,16,3,8.4
Very Good,227,104,14,3,8.3
Very Good,215,139,18,2,8.4
Good,45,89,12,2,7.5
Good,280,66,5,2,7.7
Very Good,189,76,8,2,8.3
Very Good,528,104,14,3,8.4
Excellent,206,179,21,3,8.9
Very Good,261,139,13,3,8
Good,228,70,9,2,7.6
Good,230,108,15,3,7.8
Wonderful,322,197,24,3,9
Very Good,268,115,14,2,8.1
Excellent,85,99,11,2,8.8
Wonderful,606,297,42,2,9.2
Very Good,176,129,19,0,8.2
Good,98,95,15,2,7.8
Very Good,78,118,16,2,8.4
Good,416,134,13,4,7.3
Excellent,310,138,18,3,8.9
Good,178,80,9,2,7.6
Very Good,187,177,25,3,8.3
Very Good,363,159,24,3,8.2
Good,128,79,6,2,7.4
Excellent,298,365,66,3,8.7
Excellent,223,131,15,2,8.8
Very Good,347,129,17,2,8
Good,750,98,10,2,7.6
Good,743,174,21,2,7.2
Good,219,79,10,2,7.3
Good,529,107,15,3,7.7
Excellent,271,149,19,3,8.6
Good,102,107,15,3,7.1
Review score,20,80,15,1,6.1
Very Good,45,109,14,3,8
Good,215,80,11,2,7.2
Good,217,116,17,3,7.5
Good,145,81,12,2,7.3
Good,153,319,44,3,7.8
Very Good,243,159,17,3,8
Very Good,425,97,14,3,8.3
Very Good,130,84,7,2,8
Good,132,124,16,3,7.5
Good,139,97,11,3,7
Very Good,330,90,14,0,8.5
Very Good,158,130,14,2,8.4
Excellent,130,184,21,3,8.8
Good,285,85,16,3,7.4
Very Good,230,154,20,2,8.1
Good,202,155,23,2,7.2
Very Good,183,115,17,3,8.5
Excellent,214,112,11,3,8.6
Good,200,103,15,1,7.2
Excellent,130,184,21,3,8.8
Good,285,85,16,3,7.4
Very Good,230,154,20,2,8.1
Good,202,155,23,2,7.2
Very Good,183,115,17,3,8.5
Excellent,214,112,11,3,8.6
Good,178,90,12,2,7.7
Very Good,594,379,55,3,8.2
Very Good,72,110,13,2,8.3
Excellent,85,99,11,2,8.8
Very Good,137,142,16,2,8.5
Wonderful,257,139,15,3,9
Review score,242,117,13,2,6.8
Good,358,105,12,2,7.3
Good,643,100,15,3,7.2
Good,116,110,18,3,7.6
Excellent,118,125,24,2,8.7
Good,73,46,6,2,7
Good,593,150,15,3,7.9
Good,234,191,23,2,7.9
Excellent,177,124,20,2,8.8
Good,128,89,10,2,7.5
Very Good,156,60,8,2,8.1
Good,320,109,17,2,7.2
Excellent,664,116,13,3,8.8
Very Good,121,89,11,2,8.1
Good,399,85,11,2,7.9
Good,161,95,11,2,7.7
Very Good,154,85,14,3,8.2
Review score,19,54,12,3,4.9
Very Good,196,140,20,2,8.3
Good,593,150,15,3,7.9
Good,271,114,17,3,7.7
Good,363,63,8,3,7.6
Good,328,139,19,3,7.8
Very Good,175,139,18,3,8.5
Good,499,199,23,2,7.8
Very Good,156,142,18,3,8.3
Very Good,64,119,25,0,8
Good,187,105,21,2,7
Wonderful,374,169,22,3,9
Very Good,164,124,15,3,8.4
Very Good,419,75,7,2,8.3
